Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","616","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","596","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","37.07","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","35.47","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","42.19","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","40.82","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","398","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","356","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","28.41","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","27.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","22.18","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","19.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","876","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","875","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","55.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","54.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","62.4","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","62.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","706","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","690","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","42.43","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","41.42","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","52.84","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","52.41","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","150","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","151","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.9","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","10.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","9.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","10.04","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","38","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","37","Fc","Calculated data"
